aardvark|anteater,placental
jukebox|nickelodeon,phonograph
julep|highball
julienne|vegetable,veggie,soup
jumble|clutter,muddle,fuddle,welter,smother,disorder,cake,patchwork,hodgepodge,theory,mingle,confuse,assemble,piece,tack,scramble,disarray
jumbo|elephantine,gargantuan,giant,large
jump|leap,increase,transition,startle,start,reflex,descent,propulsion,actuation,bound,spring,move,assail,assault,attack,mount,climb,rise,look,appear,seem,enter,participate,change,derail,travel,chute,parachute,dive,plunge,plunk,jump-start,skip,neglect,omit,drop,miss,overlook,switch,shift,alternate,alter,vary
jump-start|action,jump,start,begin,commence
jumper|person,individual,someone,somebody,mortal,soul,athlete,jock,coverall,connection,connector,connecter,connective,jacket,pinafore,dress,frock
jumpiness|nervousness,restiveness,anxiety
jumpsuit|garment
jumpy|edgy,high-strung,jittery,nervy,overstrung,restive,uptight,tense,rough,rocky,bumpy,smooth
junco|snowbird,finch
junction|place,spot,conjunction,conjugation,union,unification,articulation,join,joint,juncture,connection,link,connector,connecter,connective
juncture|occasion,happening,occurrence,crossroads,crisis,articulation,join,joint,junction,connection,link
jungle|forest,woodland,timberland,timber,location,camp
junior|inferior,lowly,petty,secondary,subaltern,subordinate,minor,young,immature,senior,intermediate,upstart,parvenu
juniper|shrub,bush,cypress
junk|debris,dust,rubble,detritus,rubbish,trash,scrap,boat,discard,fling,toss,dispose
junket|dessert,sweet,excursion,jaunt,outing,expedition,sashay,journey,trip,junketeer,travel,feast,banquet,host
junketeer|junket,travel,trip,jaunt
junkie|junky,addict,freak,enthusiast,partisan
junky|junkie,addict,freak,enthusiast,partisan
junkyard|yard
junta|clique,coterie,pack,camp
juridical|philosophy,judicial
jurisdiction|power,district,territory,dominion
jurist|expert,judge,justice,magistrate,official,functionary,adjudicator
juristic|legal
juror|panelist
jury|body,panel,committee,commission
jury-rigged|makeshift,impermanent,temporary
just|fitting,meet,retributive,rightful,fair,just,honorable,right,righteous,unjust,equitable,evenhanded,inequitable,antitrust,clean,sporting,sporty,fair-minded,impartial,reasonable,sensible,unfair,good,upright,merely,simply,only,precisely,exactly,barely,hardly,scarcely,scarce
justice|justness,injustice,judicature,disposal,judge,jurist,magistrate,official,functionary,adjudicator
justifiable|excusable
justified|even
justify|warrant,confirm,reassert,vindicate,uphold,maintain,apologize,excuse,rationalize,defend,support,absolve,free,forgive,blame,adjust,correct
justly|rightly,unjustly,right
justness|rightness,nicety,conformity,conformance,justice,injustice
juvenile|adolescent,jejune,puerile,immature,person,individual,someone,somebody,mortal,soul,adult
juxtapose|place,pose,position
kabob|kebab,dish
kaiser|emperor
kale|boodle,bread,cabbage,dough,lettuce,lucre,loot,pelf,scratch,shekels,sugar,wampum,money
kaleidoscope|form,shape,pattern,plaything
kamikaze|fighter,pilot
kangaroo|marsupial
kaolin|clay
kappa|letter
kaput|gone
karakul|caracul
karaoke|singing
karat|carat,unit
karma|destiny,fate
kayak|canoe,boat
kayo|knockout,blow,beat
kazoo|wind
kebab|kabob,dish
keel|beam,stagger,reel,lurch,swag,careen,walk
keen|acute,incisive,penetrating,penetrative,piercing,sharp,perceptive,exquisite,intense,bang-up,bully,dandy,great,groovy,neat,nifty,peachy,swell,smashing,good,cutting,stabbing,dirge,lament,requiem,threnody
keenness|acuteness,acuity,sharpness,intelligence,eagerness,avidity,enthusiasm,shape,form,contour,conformation,dullness
keep|support,livelihood,living,sustenance,resource,dungeon,stronghold,fastness,hold,cell,maintain,continue,proceed,move,discontinue,have,lose,prevent,observe,break,record,enter,lodge,accommodate,retain,prolong,sustain,stay,remain,rest,celebrate,restrain,suppress,keep,preserve,protect,grow,raise,farm,produce,save,reserve,book,store,confine,detain,cook,ready,make,prepare
keeper|defender,guardian,protector,custodian,steward
keeping|conformity,conformation,compliance,abidance,guardianship,safekeeping,duty,obligation,retention,holding,possession,ownership
keepsake|souvenir,token,relic,object
kelvin|physicist
kennel|doghouse,outbuilding,shelter
keno|lotto,bingo
kept|unbroken,broken
kerchief|scarf
kernel|meat,grain,substance,core,center,essence,gist,heart,marrow,pith,nitty-gritty,content
kerosene|fuel,hydrocarbon
kestrel|falcon
ketchup|catsup,condiment
kettle|boiler,hole,hollow,kettledrum,tympanum,timpani
kettledrum|kettle,tympanum,timpani
keyboard|device,holder
keyhole|hole
keynote|subject,topic,theme,idea,thought,tonic,note,tone,address,speak
keypad|keyboard
keystone|anchor,mainstay,backbone,linchpin,support,headstone
khaki|chromatic,fabric,cloth,material,textile
khan|ruler,caravansary,caravanserai,hostel,hostelry,lodge
kibble|meal,bucket,pail
kibitz|comment,notice,remark
kibitzer|meddler
kibosh|stop,halt,block,prevent,forestall,foreclose,preclude,forbid
kick|boot,blow,bang,charge,rush,flush,thrill,exhilaration,excitement,recoil,movement,motion,gripe,beef,squawk,objection,stimulation,stimulus,stimulant,input,move,motility,propel,impel,dance,bounce,spring,bound,rebound,reverberate,ricochet,forgo,score,tally,complain,plain,kvetch,cheer
kick-start|start
kickback|bribe,payoff
kickoff|beginning,start,commencement,first,outset,offset,point,middle
kiddy|child,youngster,minor,shaver,nipper,tike,tyke,nestling
kidnap|abduct,snatch,seize
kidnaper|kidnapper,abductor,snatcher,criminal,felon,crook,outlaw,malefactor,captor
kidnapper|kidnaper,abductor,snatcher,criminal,felon,crook,outlaw,malefactor,captor
kidnapping|snatch,capture,seizure
kidskin|leather
kill|killing,termination,ending,conclusion,destruction,devastation,defeat,veto,blackball,negative,terminate,hurt,ache,suffer,overwhelm,overpower,whelm,overcome,overtake,down,drink,imbibe,obliterate,exhaust,beat,tucker,destroy,destruct
killdeer|plover
killer|slayer,person,individual,someone,somebody,mortal,soul,cause,difficulty,dolphin
killing|humorous,fatality,kill,termination,ending,conclusion,cleanup,lucre,profit,profits,earnings
killjoy|spoilsport
kiln|furnace
kilo|kilogram
kilocycle|kilohertz,rate
kilogram|kilo
kilohertz|kilocycle,rate
kilt|skirt
kilter|orderliness,order
kimono|robe
kind|benignant,gracious,benign,charitable,benevolent,kindly,sympathetic,openhearted,gentle,kindhearted,considerate,good-natured,merciful,soft,unkind,genial,hospitable,tolerant,forgiving,sort,form,variety,category
kinda|rather
kindergarten|preschool
kindhearted|kind
kindle|inflame,ignite,light,arouse,elicit,evoke,fire,raise,provoke,make,create
kindliness|helpfulness,friendliness
kindling|tinder,spunk,punk,lighter,ignition,lighting,inflammation,burning,combustion
kindly|charitable,benevolent,sympathetic,openhearted,kind,benign,benignant,unkindly
kindness|good,goodness,unkindness,mercy,benignity,action
kindred|akin,related,similar,clan,tribe
kine|cattle,oxen,bovine
kinematics|mechanics
kinetic|mechanics,moving,dynamic
kinetics|dynamics,mechanics
kinfolk|family,folk,kinsfolk,lineage,line,descent,bloodline,blood,pedigree,ancestry,origin,parentage,stock
king|sovereign,monarch,queen,world-beater,rival,challenger,competitor,competition,contender,baron,magnate,mogul,power,tycoon,businessman,eminence,distinction,preeminence,note,singer,vocalist,guitarist,clergyman,reverend,checker,chessman
king-size|king-sized,large
king-sized|king-size,large
kingdom|land,realm,sphere,domain,area,orbit,field,arena,country,state,demesne,monarchy,group,grouping
kingly|noble
kingpin|bigwig,personage,bolt,headpin
kingship|rank
kink|crick,rick,spasm,cramp,twist,twirl,fold,crease,crimp,bend,person,individual,someone,somebody,mortal,soul,idea,thought,difficulty,crape,frizzle,frizz,curl,wave,curve
kinky|perverted,abnormal,crisp,frizzly,frizzy,curly,far-out,offbeat,quirky,way-out
kinsfolk|family,folk,kinfolk,lineage,line,descent,bloodline,blood,pedigree,ancestry,origin,parentage,stock
kinship|affinity,relation,relationship
kinsman|relative,relation
kinswoman|relative,relation
kiosk|booth,cubicle,stall,closet
kipper|herring
kirsch|brandy
kismet|destiny,fate
kiss|buss,osculation,touch,touching,cookie,cooky,biscuit,candy,osculate
kisser|lover,countenance,physiognomy,visage,face
kitchen|room
kitchenette|kitchen
kite|check,plaything,hawk,increase,obtain,glide
kitsch|ostentatious,pretentious,tasteless
kitten|kitty,deliver,bear,birth,have
kittenish|frisky,playful
kitty|pool,stake,wager,jackpot,kitten,puss,pussy,pussycat
kitty-corner|catercorner,catty-corner,oblique
kiwi|vine,inhabitant,dweller,denizen
kleptomania|mania,passion
kleptomaniac|appropriator
klutz|stupid,dullard,dolt
knack|bent,hang,endowment,gift,talent
knackwurst|knockwurst,sausage
knapsack|backpack,rucksack,haversack
knave|rogue,rascal,rapscallion,scalawag,varlet,villain,scoundrel,jack
knavery|dishonesty,wrongdoing,misconduct
knavish|crafty,cunning,foxy,guileful,slick,tricky,wily,artful
knead|work,manipulate,massage
knee|stifle,joint,articulation
knee-deep|shallow,knee-high
knee-high|sock,stocking,knee-deep
kneecap|patella,shoot
kneel|motion,movement,move,motility,rest
knell|bell,toll,ring,peal,sound
knickers|breeches,trouser,pant,bloomers,pants,drawers,underpants
knickknack|novelty,article,bric-a-brac,whatnot,curio,curiosity,oddity,oddment,peculiarity,rarity
knife|weapon,tongue,projection,stab,injure,wound
knight|horse,chessman,ennoble,gentle,entitle
knighthood|nobility,aristocracy
knightliness|chivalry,principle
knightly|medieval,past,chivalrous,gallant,courteous
knish|dish
knit|fabric,cloth,material,textile,plain,knitting,needlework,entwine,join,conjoin,pucker,rumple,cockle,crumple,wrinkle,crease,crinkle,scrunch,crisp
knitting|knit,needlework,handicraft
knitwear|clothing,wear,wearable,habiliment
knob|boss,projection,handle,grip,hold,node,thickening,convexity,pommel,decoration,ornament
knobby|unshapely
knock|sound,roast,criticism,critique,bash,bang,smash,belt,blow,bump,misfortune,whack,strike,pink,ping,criticize,comment,notice,remark,praise
knock-knee|disability,disablement,handicap,impairment
knock-kneed|unfit
knockdown|collective,blow
knocker|person,individual,someone,somebody,mortal,soul,detractor,cynic,faultfinder,breast,bosom,boob,mamma,rapper,device
knockoff|clone,copy
knockout|hard,severe,strong,smasher,beauty,ravisher,sweetheart,peach,looker,dish,woman,kayo,blow
knockwurst|knackwurst,sausage
knoll|mound,hillock,hummock,hammock,hill
knot|bunch,clump,cluster,fastener,fastening,wood,gnarl,distortion,mile,burl,roughness,raggedness,sandpiper,bind,ravel,tangle,intertwine,twine,entwine,interlace,lace,unravel
knothole|hole
knotty|baffling,problematic,tough,difficult,hard,gnarled,crooked,convoluted,involved,tangled,tortuous,complex,snarly
know|knowing,ignore,experience,live,undergo,acknowledge,recognize,accept,love,screw,jazz,hump,bang,copulate,mate,pair,couple,realize,distinguish,separate,tell,remember,retrieve,recall,recollect,think
know-how|ability,power
know-it-all|egotist,egoist,swellhead
knowable|cognizable,unknowable
knowing|wise,informed,deliberate,intentional,intended,enlightened,learned,lettered,well-read,educated
knowingly|wittingly,unknowingly,unwittingly
knowledge|cognition
known|celebrated,famed,famous,illustrious,notable,noted,renowned,legendary,proverbial,well-known,acknowledged,familiar,glorious,unknown
knuckle|press,shoot
knucklehead|dunce,dunderhead,numskull,blockhead,bonehead,lunkhead,hammerhead,loggerhead,simpleton,simple
koala|phalanger,opossum,possum
kook|anomaly
kookaburra|kingfisher
kooky|balmy,bats,batty,bonkers,buggy,cracked,crackers,daft,dotty,fruity,haywire,loco,loony,loopy,nuts,nutty,wacky,insane
kopeck|kopek
kopek|kopeck
kosher|clean,proper,nutriment,nourishment,nutrition,sustenance,aliment,victuals
kowtow|obeisance,scrape,genuflect,fawn,toady,truckle,flatter,blandish
kraal|village,hamlet
krypton|element
kudos|praise,approval,commendation
kudzu|vine
kumquat|citrus
kvetch|whiner,complainer,moaner,crybaby,grumbler,squawker,complaint,complain,kick,plain,cheer
la-di-da|grandiose,highfalutin,hoity-toity,pretentious
label|description,brand,marque,radioisotope,marker,marking,mark,designate,denominate,attach,pronounce,judge,declare,adjudge,hold,distinguish,separate,tell
labial|consonant
labile|reactive,unbalanced
labor|toil,work,proletariat,class,confinement,lying-in,travail,parturition,birth,party,undertaking,project,task,push,drive,fight,struggle,grind,drudge,moil,experience,receive,have,undergo
laboratory|workplace,work,region
labored|strained,awkward,heavy
laborer|jack,workman,workingman
laborious|arduous,backbreaking,grueling,gruelling,hard,heavy,punishing,toilsome
laborsaving|helpful
labyrinth|maze,system,receptor
labyrinthine|receptor,complex
lace|cord,fabric,cloth,material,textile,intertwine,twine,entwine,interlace,twist,distort,braid,plait,weave,tissue,bind,spike,fortify,change,alter,modify
lacerate|rough,torn,injured,tear,rupture,snap,bust,hurt,wound,injure,bruise,offend,spite
laceration|wound,lesion,tear
lacework|work
lachrymal|lacrimal,drop,driblet
lachrymose|dolorous,tearful,weeping,sorrowful
lack|deficiency,want,need,demand,miss,have
lackey|flunky,flunkey,servant,retainer,sycophant,toady,crawler,flatterer,adulator
lacking|missing,nonexistent,wanting,absent,deficient,inadequate
lackluster|lusterless,dull
laconic|crisp,curt,terse,concise
laconically|dryly,drily
lacquer|coating,coat,decorate,adorn,grace,ornament,embellish,beautify
lacrimal|lachrymal,drop,driblet
lactate|salt,ester,suckle,suck,nurse,feed,give
lactation|period,activity,suckling,feeding
lacteal|humor,nutriment,nourishment,nutrition,sustenance,aliment,victuals
lactic|beverage,drink,drinkable,potable
lacuna|blank,crack,coffer,caisson,panel
lacy|fancy,webbed
ladder|stairs,steps,degree,level,stage,point,ravel,damage,harm,impairment,break,separate
lade|ladle,laden,remove,take,withdraw,load,fill
laden|loaded,full,oppressed,ladle,lade,remove,take,withdraw,load,fill
lading|cargo,freight,load,loading,payload,shipment,consignment,merchandise,ware,product
ladle|vessel,place,pose,position,lade,laden,remove,take,withdraw
lady|woman,dame,madam,ma'am,gentlewoman,noblewoman,peeress,nobleman
lady-slipper|orchid
ladybird|ladybug,beetle
ladybug|ladybird,beetle
ladyfinger|cookie,cooky,biscuit
ladylike|refined
ladylove|sweetheart,sweetie,steady
ladyship|title
lager|camp,encampment,cantonment,bivouac,beer
laggard|dilatory,poky,pokey,slow,dawdler,drone,trailer,poke,idler,loafer,do-nothing
lagniappe|gift
lagoon|lake
laid|ordered
laid-back|mellow,relaxed
lair|habitation
laity|multitude,masses,mass,people,clergy
lake|water,pigment
lakefront|formation
lallygag|loiter,lounge,lollygag,loaf,tarry,linger,lurk
lama|priest
lamasery|monastery
lamb|essayist,victim,dupe,dear,innocent,meat,deliver,bear,birth,have
lambast|cane,flog,lambaste,beat,rebuke,trounce,reproof,lecture,reprimand,scold,chide,berate,remonstrate,knock,criticize
lambaste|cane,flog,lambast,beat,rebuke,trounce,reproof,lecture,reprimand,scold,chide,berate,remonstrate,knock,criticize
lambda|letter
lambency|gleam,glow,radiance,shine,effulgence,refulgence
lambent|aglow,luminous,bright
lambkin|lamb
lambskin|pelt,parchment,sheepskin
lame|feeble,weak,crippled,halt,halting,gimpy,game,unfit,square,simpleton,simple,fabric,cloth,material,textile,cripple,maim
lameness|gimp,gameness,faultiness
lament|lamentation,plaint,wail,complaint,dirge,requiem,threnody,song,vocal,elegy,poem,keen,deplore,bewail,bemoan,complain,kick,plain,kvetch
lamentable|deplorable,distressing,pitiful,sorry
lamentably|deplorably,sadly,woefully
lamentation|lament,plaint,wail,complaint,mourning,activity,expression,reflection
lamina|plate
laminar|stratified
laminate|sheet,lamination,produce,make,create,flatten,cover,cleave,split,rive
lamination|structure,construction
lamp|furniture
lampblack|soot,smut,crock,carbon
lamplight|light
lamplighter|worker
lampoon|parody,spoof,mockery,takeoff,burlesque,travesty,charade,put-on,caricature,imitation,satirize,ridicule,roast,blackguard
lamppost|post
lampshade|shade
lanai|island,veranda,verandah,gallery
lance|spear,shaft,weapon,implement,lancet,travel,move,pierce,thrust,open
lancer|cavalryman,trooper
lancet|lance
land|onshore,overland,realty,immovable,ground,soil,object,earth,domain,demesne,region,country,state,kingdom,realm,sphere,area,orbit,field,arena,estate,nation,people,commonwealth,inventor,discoverer,artificer,farming,occupation,business,line,arrive,come,bring,change,alter,modify,convey,take,deliver,shore,down
landau|physicist,carriage,equipage
landed|landless
landfall|seashore,coast,seacoast,sighting
landfill|lowland
landholder|landowner,owner,possessor
landholding|ownership,property,belongings,holding
landing|platform,structure,construction,arrival
landlady|landlord
landless|landed
landlocked|inland
landlord|landowner,landholder
landlubber|landsman,inhabitant,dweller,denizen,lubber,novice,beginner,tyro,initiate
landmark|position,place,watershed,juncture,occasion,reference,structure
landmass|land,earth,ground
landowner|landholder,owner,possessor
landscape|scenery,painting,picture,genre,viewpoint,stand,standpoint,decorate,adorn,grace,ornament,embellish,beautify,garden
landscaper|architect,designer
landslide|victory,triumph,slide
landsman|landlubber,inhabitant,dweller,denizen,lubber,novice,beginner,tyro,initiate
landward|landwards
landwards|landward
lane|path
language|speech,terminology,nomenclature,word,faculty,module,lyric,words,text
languid|dreamy,languorous,lethargic
languish|waste,weaken,ache,yearn,pine,hanker,long,fade,devolve,deteriorate,drop,degenerate
languor|dreaminess,easiness,relaxation,lassitude,listlessness,apathy,lethargy,sluggishness,phlegm,flatness,inactivity,inertia
languorous|dreamy,languid,lethargic
lank|long,spindly,thin,lean
lankiness|physique,build
lanky|gangling,gangly,rangy,tall,thin,lean
lanolin|cream,ointment,emollient
lantern|lamp
lanthanum|metal
lanyard|cord,line
lapel|overlap
lapidary|crystal,expert,engraver
lapin|rabbit,pelt,coney,cony
lappet|wattle,overlap
lapse|oversight,mistake,error,fault,pause,intermission,break,interruption,suspension,relapse,reversion,failure,sink,pass,move,stop,finish,terminate,cease,backslide,slip,regress,retrogress,revert,return,forfeit,waive,forgo,elapse,advance,progress
lapwing|pewit,plover
larboard|port,left,side,starboard
larcenist|thief
larcenous|dishonesty
larceny|theft,thievery,thieving,felony
larch|wood,conifer
lard|cook,ready,make,prepare,embroider,embellish,aggrandize,dramatize,overstate,exaggerate,overdraw,magnify,amplify
larder|commissariat,provisions,provender,viands,victuals,pantry,buttery,storeroom,stowage
large|ample,sizable,sizeable,astronomic,astronomical,galactic,biggish,largish,bouffant,puffy,broad,spacious,wide,bulky,capacious,colossal,prodigious,stupendous,deep,double,enormous,tremendous,cosmic,elephantine,gargantuan,giant,jumbo,epic,heroic,extensive,extended,gigantic,mammoth,great,grand,huge,immense,vast,hulking,humongous,thumping,whopping,walloping,king-size,king-sized,large-scale,life-size,life-sized,full-size,macro,man-sized,massive,monolithic,monumental,monstrous,mountainous,outsize,oversize,oversized,overlarge,queen-size,rangy,super,titanic,voluminous,little,small,significant,important,bombastic,declamatory,orotund,tumid,turgid,rhetorical,magnanimous,generous,prominent,conspicuous,expectant,gravid,heavy,pregnant,size,boastfully
large-scale|large
largely|mostly
largeness|breadth,intelligence,magnitude,bigness,size,littleness,smallness,pretension
largess|largesse,gift,munificence,magnanimity,liberality,liberalness
largesse|largess,gift,munificence,magnanimity,liberality,liberalness
largish|biggish,large
largo|slow,opus,composition,piece,passage
lariat|lasso,rope
lark|meadowlark,oriole,pipit,escapade,diversion,recreation,frolic,rollick,skylark,disport,sport,cavort,gambol,frisk,romp,play
larkspur|delphinium
larva|animal,beast,brute,creature,fauna
larval|immature,animal,beast,brute,creature,fauna
laryngitis|inflammation,redness
lasagna|pasta
lascivious|lewd,libidinous,lustful,sexy
lasciviously|salaciously
lash|eyelash,cilium,hair,thong,whip,whiplash,blow,flog,welt,lather,slash,strap,trounce,beat,swing,sway,strike,bind
lashing|violent,whipping,tanning,flogging,flagellation,beating,thrashing,licking,drubbing,rope,fastener,fastening
lass|lassie,girl,miss
lassie|lass,girl,miss
lassitude|lethargy,sluggishness,torpor,torpidity,languor,listlessness,apathy,slackness,weakness
lasso|composer,lariat,rope,catch,capture
last|past,endmost,terminal,parting,penultimate,senior,sunset,ultimate,intermediate,first,concluding,final,closing,unlikely,dying,unalterable,worst,utmost,high,finale,finis,finish,conclusion,close,ending,rank,activity,death,weight,endure,measure,survive,live,lastly,finally
last-ditch|ultimate
lasting|permanent,abiding,enduring,imperishable,ageless,eternal,everlasting,perpetual,unending,unceasing,indissoluble,standing,ineradicable,stable,unchangeable,impermanent,durable,long-lasting,long-lived,long,persistent
lastly|last,finally
latch|lock,catch,fasten,secure
late|advanced,ripe,latish,posthumous,early,middle,belated,tardy,recent,past,dead,later,former,previous,belatedly,tardily,deep,recently,lately,latterly
latecomer|arrival,comer
lately|recently,late,latterly
latency|interval,potential,potentiality,potency
lateness|timing,earliness
latent|potential,possible,inactive
later|future,ulterior,subsequent,late,advanced,early,subsequently,afterwards,afterward,after
lateral|sidelong,side,distal,pass,passing
latest|current,modish,fashionable,stylish,news,intelligence,tidings,word
latex|exudation
lath|slat
lather|soapsuds,suds,foam,froth,fret,stew,sweat,agitation,workman,workingman,cover,flog,welt,whip,lash,slash,strap,trounce,beat,fizz,effervesce,sparkle,soap,cleanse,clean
lathery|sudsy,foam,froth
latish|late
latitude|liberty,parallel,line,scope,range,reach,orbit,compass
latrine|convenience,restroom
latte|espresso
latter|former,second
latter-day|present
latterly|recently,late,lately
lattice|arrangement,organization,system,wicket,grille,opening,latticework,fretwork,framework,frame
latticed|fretted
latticework|lattice,fretwork,framework,frame
laud|extol,exalt,glorify,proclaim,praise
laudable|commendable,praiseworthy,worthy
laudably|admirably,commendable
laudanum|opiate
laugh|laughter,utterance,vocalization,joke,jest,jape,humor,witticism,wittiness
laughable|absurd,cockeyed,derisory,idiotic,ludicrous,nonsensical,preposterous,ridiculous,foolish,amusing,comic,comical,funny,mirthful,risible,humorous
laughably|ridiculously,ludicrously
laughter|laugh,utterance,vocalization,activity
launch|motorboat,powerboat,propulsion,actuation,establish,found,open,abolish,propel,impel,launch,plunge,begin,start,commence,move,displace,smooth
launcher|armament,catapult,device
launchpad|platform
launder|wash,clean,change,exchange,commute,convert
launderette|laundry
laundress|washerwoman,laundrywoman,washer
laundromat|launderette,laundry
laundry|wash,washing,garment,workplace,work
laundryman|washer
laundrywoman|washerwoman,laundress,washer
laureate|honorable,honoree
laurel|comedian,comic,wreath,garland,coronal,chaplet
laurels|award,accolade,honor,symbol,standing,dishonor
lavage|irrigation
lavaliere|pendant,pendent
lavatory|toilet,john,privy,bathroom,room,washbasin,basin,washbowl,washstand,sink,commode,potty,stool,throne
lave|wash,flow,cleanse,clean,freshen,refresh
lavender|lilac,chromatic,shrub,bush
lavish|munificent,overgenerous,prodigal,unsparing,unstinting,generous,lush,plush,plushy,rich,shower,consume,squander,waste,ware
lavishly|richly
lavishness|luxury,extravagance,prodigality,waste,wastefulness,dissipation
law-abiding|peaceful,orderly,observant,lawful
lawbreaker|violator,criminal,felon,crook,outlaw,malefactor
lawful|law-abiding,observant,legal,straight,square,unlawful,orderly,regular,rightful,legitimate,licit
lawfully|legitimately,licitly,illicitly,lawlessly,legally,unlawfully
lawfulness|quality,unlawfulness
lawgiver|lawmaker,leader
lawless|anarchic,uncontrolled,wide-open,unlawful,outlaw
lawlessly|illegally,illicitly,lawfully
lawlessness|anarchy,disorder,illegality
lawmaker|lawgiver,leader
lawmaking|legislation,government,governing,governance
lawman|defender,guardian,protector
lawn|field
lawrencium|element
lawsuit|suit,case,cause,proceeding,proceedings
lawyer|attorney,professional
laxative|cathartic,purgative,physic
laxity|laxness,condition,status,remissness,slackness,negligence,neglect
laxly|leniently
laxness|laxity,remissness,slackness,negligence,neglect,condition,status
layer|sheet,region,part,level,stratum,place,biddy,structure,shape,form,work,mold,forge
layette|outfit
layman|layperson,secular,commoner,clergyman
layoff|closure,closing,shutdown
layout|design,plan,order
layover|stop,stopover,stay
layperson|layman,secular,commoner,clergyman
laze|idle,slug,stagnate,work
lazily|idly
laziness|indolence,inactivity,inertia,rest,ease,repose,relaxation,sloth
lazy|slow,indolent,otiose,slothful,idle
lazybones|idler,loafer,do-nothing
leach|action,activity,remove,take,withdraw,percolate,trickle,dribble,filter,strip
lead|metal,advantage,vantage,track,trail,evidence,grounds,leadership,leading,angle,lead-in,section,subdivision,score,deficit,star,principal,actor,player,thespian,position,place,steer,wind,hint,guidance,counsel,counselling,direction,timing,leash,tether,restraint,constraint,strip,slip,graphite,jumper,wire,turn,play,take,direct,conduct,guide,leave,result,produce,lead,head,precede,induce,stimulate,cause,have,make,pass,extend,contribute,conduce,promote,advance,boost,further,encourage,perform,execute,spend,travel,move,follow,moderate,chair,discuss
lead-in|lead,section,subdivision,wire
leaded|fixed,antiknock,unleaded,spaced
leaden|dull,grey,gray,cloudy,weighted,heavy,metal,plodding
leader|person,individual,someone,somebody,mortal,soul,follower,feature
leadership|leading,activity,body,status,position,ability,power
leading|star,stellar,major,directional,directive,following,preeminent,superior,ahead,lead,strip,slip,leadership,activity
leaf|leafage,foliage,folio,sheet,section,segment,flick,flip,thumb,riffle,riff,peruse,turn,grow,develop,produce,acquire
leafage|leaf,foliage
leafless|defoliate,leafy
leaflet|cusp,flap,leaf,leafage,foliage,booklet,brochure,folder,pamphlet,book
leafstalk|petiole,stalk,stem
leafy|ivied,leaved,leafless
league|conference,association,union,unite,unify
leak|hole,urination,escape,leakage,outflow,discharge,outpouring,disclosure,revelation,revealing,unwrap,disclose,reveal,discover,expose,divulge,impart,break,issue,emerge,egress
leakage|escape,leak,outflow,discharge,outpouring
leakiness|condition,status
leaky|drafty,drippy,oozy,holey,porous,permeable,tight,incontinent
lean|thin,anorexic,anorectic,bony,cadaverous,emaciated,gaunt,haggard,pinched,skeletal,wasted,gangling,gangly,lanky,lank,spindly,rawboned,reedy,twiggy,scrawny,skinny,underweight,weedy,shriveled,shrunken,wizened,slender,slight,slim,svelte,spare,trim,stringy,wiry,wispy,rich,skimpy,insufficient,deficient,unprofitable,tilt,list,inclination,leaning,position,slant,angle,bend,flex,place,pose,tend,incline,trust,swear,rely,bank,move
lean-to|shelter
leaning|atilt,inclined,propensity,tendency,inclination,proclivity,disposition,tilt,list,lean,position
leanness|meagerness,poorness,scantiness,scantness,exiguity,inadequacy,deficiency,thinness,spareness,fatness
leap|spring,bound,bounce,jump,transition,increase,distance,move,switch,shift,change
leaper|bounder,jumper
leapfrog|progress,progression,procession,advance,advancement,jump,leap,bound,spring
learn|acquire,hear,discover,memorize,study,read,take,teach,instruct,inform,determine,check,ascertain,watch
learned|erudite,scholarly,enlightened,knowing,lettered,well-read,educated,conditioned
learnedly|eruditely
learner|scholar,person,individual,someone,somebody,mortal,soul,apprentice,novice,beginner,tyro,initiate
learning|acquisition,erudition,scholarship,education
lease|rental,property,belongings,holding,contract,period,rent,undertake,hire,charter,give,engage,take,acquire
leasehold|estate,land,demesne
leaseholder|lessee,tenant,renter
leash|tether,lead,restraint,constraint,three,trio,threesome,troika,triad,trinity,ternary,triplet,trey,digit,figure,collar,rope,bind
least|most,matter,affair,thing
leather|flog,welt,whip,lather,lash,slash,strap,trounce
leatherneck|serviceman
leathery|tough
leave|permission,farewell,leave-taking,parting,departure,going,arrive,make,refrain,forbear,exit,move,enter,allow,provide,yield,give,afford,result,lead,produce,depart,change,entrust,pass,hand,reach,bequeath,will,gift,present,disinherit,have,impart,tell,forget,lose
leave-taking|farewell,leave,parting,departure,going
leaved|leafy
leaven|leavening,substance,matter,imponderable,raise,prove,lift,elevate
leavening|leaven,imponderable,substance,matter
leaver|goer,migrant
lech|satyr,lecher,pervert,deviant,deviate,degenerate
lecher|satyr,lech,pervert,deviant,deviate,degenerate
lecherous|sexy
lecithin|emulsifier
lectern|stand
lecture|talk,address,speech,rebuke,reproof,reprehension,reprimand,teaching,instruction,pedagogy,teach,learn,instruct,trounce,scold,chide,berate,remonstrate,lambaste,lambast,knock,criticize
lecturer|reader,educator,pedagogue,speaker,talker
lectureship|position,post,berth,office,spot,billet,place,situation
ledge|shelf,ridge
ledger|book,record,journal
leech|bloodsucker,annelid,parasite,sponge,sponger,follower,bleed,treat
leek|scallion,vegetable,veggie
leer|sneer,contempt,scorn,expression,look,aspect,face
leery|mistrustful,suspicious,wary,distrustful
lees|sediment,deposit
leeward|downwind,windward,direction,side,face,upwind
